"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO85","Casanare",4,7.84895302013423,4.12185011185682,7.84895302013423,4.10973651006711,18004,15,9,8,105,21,0.040214412177046,0.0595259469410114
"CO","Colombia","CO19","Cauca",1,7.1077897473997,4.05923848439822,7.1077897473997,4.04047745913819,31624,87,61,22,565,58,NA,NA
"CO","Colombia","CO19","Cauca",4,7.07930523627075,4.3186251596424,6.91439159642401,4.14741328224776,37298,87,61,22,565,58,-0.0272093235518741,0.0264661352998581
"CO","Colombia","CO20","Cesar",1,11.720131147541,5.82774238875878,11.6826509601874,5.61974576112412,27997,7,7,16,73,18,NA,NA
"CO","Colombia","CO20","Cesar",4,13.4208771266541,7.73090359168242,12.8064048393195,7.12713270321361,38577,7,7,16,73,18,0.0961899728890041,0.268230451369737
"CO","Colombia","CO27","Choco",1,6.25705333333333,3.44888,6.25705333333333,3.44888,3147,7,1,4,73,11,NA,NA
"CO","Colombia","CO27","Choco",4,7.74950724637681,4.92867391304348,7.74950724637681,4.92867391304348,4177,7,1,4,73,11,0.238523444429137,0.429065062583644
"CO","Colombia","CO23","Cordoba",1,9.68611111111111,5.43788304093567,9.42831473684211,5.14299315789474,20679,25,18,10,97,18,NA,NA
"CO","Colombia","CO23","Cordoba",4,10.0999634464752,5.61326892950392,10.0013654308094,5.51308396866841,28493,25,18,10,97,18,0.0607797586272805,0.0719601989369876
"CO","Colombia","CO25","Cundinamarca",1,12.237406372421,5.51281039435884,11.8168565369548,5.36779723165317,181374,50,23,24,590,84,NA,NA
"CO","Colombia","CO25","Cundinamarca",4,12.169704189044,5.4139686358754,11.6780485929108,5.26670787110634,301537,50,23,24,590,84,-0.0117466048275933,-0.0188325594623294
"CO","Colombia","CO94","Guainia",1,1.5366,1.8909,1.5366,1.8909,61,0,0,0,10,1,NA,NA
"CO","Colombia","CO95","Guaviare",1,5.696,4.64631914893617,5.696,4.64631914893617,609,6,0,1,56,5,NA,NA
"CO","Colombia","CO95","Guaviare",4,5.11463265306122,4.84,5.11463265306122,4.84,1157,6,0,1,56,5,-0.102065896583353,0.0416847928124298
"CO","Colombia","CO41","Huila",1,7.58104334038055,5.12711310782241,7.49856266384778,4.85205835095137,30868,38,11,16,313,32,NA,NA
"CO","Colombia","CO41","Huila",4,7.44078249566724,5.13502079722704,7.31128707105719,4.98435748700173,39006,38,11,16,313,32,-0.0249748653423255,0.0272666003747499
"CO","Colombia","CO44","La Guajira",1,8.73079442508711,2.63124738675958,8.73079442508711,2.63124738675958,9765,6,32,4,606,46,NA,NA
"CO","Colombia","CO44","La Guajira",4,7.52777586206897,2.34866206896552,7.52777586206897,2.34866206896552,12363,6,32,4,606,46,-0.137790274795772,-0.10739595190328
"CO","Colombia","CO47","Magdalena",1,11.3941238738739,5.85395495495495,11.3761043243243,5.83162486486486,25811,3,16,3,129,26,NA,NA
"CO","Colombia","CO47","Magdalena",4,13.3349637096774,7.63558669354839,13.2630415322581,7.42868366935484,32121,3,16,3,129,26,0.165868486622358,0.27386171804571
"CO","Colombia","CO50","Meta",1,10.5524839710445,6.63337952430197,10.5126914581179,6.49381383660807,40287,44,9,14,200,60,NA,NA
"CO","Colombia","CO50","Meta",4,10.6770572614108,7.17915601659751,10.0735179087137,6.37843065560166,55157,44,9,14,200,60,-0.0417755577773631,-0.0177681688926696
"CO","Colombia","CO52","Narino",1,7.21519911504425,4.14258960176991,6.97203384955752,3.84352444690265,28204,9,9,13,312,66,NA,NA
"CO","Colombia","CO52","Narino",4,6.81938734177215,4.14388438818565,6.69250602531646,4.11144528270042,41793,9,9,13,312,66,-0.0400927233390881,0.0697070721154576
