"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO63","Quindio","CO63470","Montenegro",4,7.08980303030303,3.17581818181818,7.08980303030303,3.17581818181818,1594,6,0,0,6,2,0.0171857770833996,0.00461971090346269
"CO","Colombia","CO63","Quindio","CO63548","Pijao",1,12.2028333333333,1.58816666666667,11.7970533333333,1.58816666666667,34,1,0,0,5,0,NA,NA
"CO","Colombia","CO63","Quindio","CO63548","Pijao",4,6.29333333333333,4.57925,6.29333333333333,4.57925,107,1,0,0,5,0,-0.466533450726114,1.88335607094134
"CO","Colombia","CO63","Quindio","CO63594","Quimbaya",1,8.49832608695652,2.63030434782609,8.49832608695652,2.63030434782609,974,2,0,0,10,2,NA,NA
"CO","Colombia","CO63","Quindio","CO63594","Quimbaya",4,7.01159016393443,2.43683606557377,7.01159016393443,2.43683606557377,1460,2,0,0,10,2,-0.1749445605887,-0.0735535727689518
"CO","Colombia","CO63","Quindio","CO63690","Salento",1,12.9940243902439,3.664,12.9940243902439,3.664,566,1,0,0,6,2,NA,NA
"CO","Colombia","CO63","Quindio","CO63690","Salento",4,10.7094722222222,3.64819444444444,10.7094722222222,3.64819444444444,577,1,0,0,6,2,-0.1758155979557,-0.00431374332848133
"CO","Colombia","CO66","Risaralda","CO66001","Pereira",1,14.5838983050847,5.67011016949153,14.2820422881356,5.64708733050847,36547,6,17,8,70,17,NA,NA
"CO","Colombia","CO66","Risaralda","CO66001","Pereira",4,14.6027573385519,5.31018982387476,14.5306881409002,5.31018982387476,46619,6,17,8,70,17,0.0174096846759204,-0.0596586323029973
"CO","Colombia","CO66","Risaralda","CO66045","Apia",1,2.89125,2.7065,2.89125,2.7065,189,0,0,0,2,1,NA,NA
"CO","Colombia","CO66","Risaralda","CO66045","Apia",4,4.168,2.82616666666667,4.168,2.82616666666667,246,0,0,0,2,1,0.441591007349762,0.0442145452306175
"CO","Colombia","CO66","Risaralda","CO66075","Balboa",1,11.722,4.671875,11.722,4.671875,233,0,0,0,2,2,NA,NA
"CO","Colombia","CO66","Risaralda","CO66075","Balboa",4,14.3603333333333,8.56116666666667,14.3603333333333,8.56116666666667,441,0,0,0,2,2,0.225075356878804,0.832490523968785
"CO","Colombia","CO66","Risaralda","CO66088","Belen de Umbria",1,10.2827,3.7423,10.2827,3.7423,222,1,0,0,10,1,NA,NA
"CO","Colombia","CO66","Risaralda","CO66088","Belen de Umbria",4,5.55094117647059,4.11311764705882,5.55094117647059,4.11311764705882,255,1,0,0,10,1,-0.460166962327931,0.0990881669184254
"CO","Colombia","CO66","Risaralda","CO66170","Dosquebradas",1,14.728304,4.641728,14.728304,4.641728,20276,2,1,1,20,4,NA,NA
"CO","Colombia","CO66","Risaralda","CO66170","Dosquebradas",4,16.8754634146341,5.16820325203252,16.8754634146341,5.16820325203252,23886,2,1,1,20,4,0.145784566548473,0.113422253960706
"CO","Colombia","CO66","Risaralda","CO66318","Guatica",1,3.84057142857143,2.892,3.84057142857143,2.892,35,0,0,0,1,2,NA,NA
"CO","Colombia","CO66","Risaralda","CO66318","Guatica",4,5.26675,4.31733333333333,5.26675,4.31733333333333,83,0,0,0,1,2,0.37134540990924,0.492853849700323
"CO","Colombia","CO66","Risaralda","CO66383","La Celia",1,6.593,14.003,6.593,14.003,2,0,0,0,2,1,NA,NA
"CO","Colombia","CO66","Risaralda","CO66383","La Celia",4,18.6025,21.888,18.6025,21.888,5,0,0,0,2,1,1.82155316244502,0.563093622795116
"CO","Colombia","CO66","Risaralda","CO66400","La Virginia",1,11.874,4.85169230769231,11.874,4.85169230769231,586,0,0,0,4,1,NA,NA
"CO","Colombia","CO66","Risaralda","CO66400","La Virginia",4,9.95378571428571,3.3055,9.95378571428571,3.3055,824,0,0,0,4,1,-0.161715873817946,-0.31869133688483
"CO","Colombia","CO66","Risaralda","CO66440","Marsella",1,3.6024,2.4058,3.6024,2.4058,157,0,0,0,15,2,NA,NA
"CO","Colombia","CO66","Risaralda","CO66440","Marsella",4,4.63028571428571,2.45885714285714,4.63028571428571,2.45885714285714,127,0,0,0,15,2,0.285333587132388,0.0220538460624919
"CO","Colombia","CO66","Risaralda","CO66456","Mistrato",1,7.5105,5.68825,7.5105,5.68825,349,1,0,0,4,4,NA,NA
"CO","Colombia","CO66","Risaralda","CO66456","Mistrato",4,9.06016666666667,7.30116666666667,9.06016666666667,7.30116666666667,210,1,0,0,4,4,0.206333355524488,0.283552352070789
"CO","Colombia","CO66","Risaralda","CO66572","Pueblo Rico",1,7.51675,3.631375,7.51675,3.631375,177,0,0,0,7,1,NA,NA
"CO","Colombia","CO66","Risaralda","CO66572","Pueblo Rico",4,4.24108333333333,2.63783333333333,4.24108333333333,2.63783333333333,311,0,0,0,7,1,-0.435782308400129,-0.273599302376281
"CO","Colombia","CO66","Risaralda","CO66594","Quinchia",1,6.75616666666667,6.14883333333333,6.75616666666667,6.14883333333333,551,0,0,0,0,0,NA,NA
