"ADM2_PC","amenities","ADM2_ES","ADM1_PC","ADM1_ES","ADM0_PC","ADM0_ES","value"
"CO05266","hospital","Envigado","CO05","Antioquia","CO","Colombia",4
"CO05282","hospital","Fredonia","CO05","Antioquia","CO","Colombia",1
"CO05284","hospital","Frontino","CO05","Antioquia","CO","Colombia",2
"CO05306","hospital","Giraldo","CO05","Antioquia","CO","Colombia",1
"CO05308","hospital","Girardota","CO05","Antioquia","CO","Colombia",1
"CO05310","hospital","Gómez Plata","CO05","Antioquia","CO","Colombia",1
"CO05313","hospital","Granada","CO05","Antioquia","CO","Colombia",1
"CO05315","hospital","Guadalupe","CO05","Antioquia","CO","Colombia",2
"CO05318","hospital","Guarne","CO05","Antioquia","CO","Colombia",2
"CO05321","hospital","Guatapé","CO05","Antioquia","CO","Colombia",2
"CO05347","hospital","Heliconia","CO05","Antioquia","CO","Colombia",1
"CO05353","hospital","Hispania","CO05","Antioquia","CO","Colombia",1
"CO05360","hospital","Itagüí","CO05","Antioquia","CO","Colombia",8
"CO05361","hospital","Ituango","CO05","Antioquia","CO","Colombia",2
"CO05364","hospital","Jardín","CO05","Antioquia","CO","Colombia",1
"CO05376","hospital","La Ceja","CO05","Antioquia","CO","Colombia",1
"CO05380","hospital","La Estrella","CO05","Antioquia","CO","Colombia",3
"CO05390","hospital","La Pintada","CO05","Antioquia","CO","Colombia",1
"CO05400","hospital","La Unión","CO05","Antioquia","CO","Colombia",1
"CO05411","hospital","Liborina","CO05","Antioquia","CO","Colombia",1
"CO05425","hospital","Maceo","CO05","Antioquia","CO","Colombia",1
"CO05440","hospital","Marinilla","CO05","Antioquia","CO","Colombia",1
"CO05467","hospital","Montebello","CO05","Antioquia","CO","Colombia",2
"CO05475","hospital","Murindó","CO05","Antioquia","CO","Colombia",1
"CO05480","hospital","Mutatá","CO05","Antioquia","CO","Colombia",1
"CO05483","hospital","Nariño","CO05","Antioquia","CO","Colombia",1
"CO05490","hospital","Necoclí","CO05","Antioquia","CO","Colombia",3
"CO05495","hospital","Nechí","CO05","Antioquia","CO","Colombia",3
"CO05501","hospital","Olaya","CO05","Antioquia","CO","Colombia",1
"CO05541","hospital","Peñol","CO05","Antioquia","CO","Colombia",1
"CO05543","hospital","Peque","CO05","Antioquia","CO","Colombia",1
"CO05576","hospital","Pueblorrico","CO05","Antioquia","CO","Colombia",1
"CO05579","hospital","Puerto Berrío","CO05","Antioquia","CO","Colombia",1
"CO05585","hospital","Puerto Nare","CO05","Antioquia","CO","Colombia",1
"CO05591","hospital","Puerto Triunfo","CO05","Antioquia","CO","Colombia",1
"CO05604","hospital","Remedios","CO05","Antioquia","CO","Colombia",1
"CO05607","hospital","Retiro","CO05","Antioquia","CO","Colombia",1
"CO05615","hospital","Rionegro","CO05","Antioquia","CO","Colombia",5
"CO05628","hospital","Sabanalarga","CO05","Antioquia","CO","Colombia",1
"CO05631","hospital","Sabaneta","CO05","Antioquia","CO","Colombia",2
"CO05642","hospital","Salgar","CO05","Antioquia","CO","Colombia",1
"CO05647","hospital","San Andrés de Cuerquía","CO05","Antioquia","CO","Colombia",2
"CO05649","hospital","San Carlos","CO05","Antioquia","CO","Colombia",1
"CO05652","hospital","San Francisco","CO05","Antioquia","CO","Colombia",1
"CO05656","hospital","San Jerónimo","CO05","Antioquia","CO","Colombia",1
"CO05658","hospital","San José de la Montaña","CO05","Antioquia","CO","Colombia",1
"CO05659","hospital","San Juan de Urabá","CO05","Antioquia","CO","Colombia",1
"CO05660","hospital","San Luis","CO05","Antioquia","CO","Colombia",2
"CO05664","hospital","San Pedro de los Milagros","CO05","Antioquia","CO","Colombia",2
"CO05665","hospital","San Pedro de Urabá","CO05","Antioquia","CO","Colombia",1
"CO05667","hospital","San Rafael","CO05","Antioquia","CO","Colombia",1
"CO05670","hospital","San Roque","CO05","Antioquia","CO","Colombia",1
"CO05674","hospital","San Vicente Ferrer","CO05","Antioquia","CO","Colombia",1
"CO05679","hospital","Santa Bárbara","CO05","Antioquia","CO","Colombia",2
"CO05686","hospital","Santa Rosa de Osos","CO05","Antioquia","CO","Colombia",5
"CO05690","hospital","Santo Domingo","CO05","Antioquia","CO","Colombia",1
"CO05697","hospital","El Santuario","CO05","Antioquia","CO","Colombia",1
"CO05756","hospital","Sonsón","CO05","Antioquia","CO","Colombia",1
"CO05761","hospital","Sopetrán","CO05","Antioquia","CO","Colombia",2
"CO05789","hospital","Támesis","CO05","Antioquia","CO","Colombia",1
"CO05790","hospital","Tarazá","CO05","Antioquia","CO","Colombia",2
"CO05792","hospital","Tarso","CO05","Antioquia","CO","Colombia",2
"CO05809","hospital","Titiribí","CO05","Antioquia","CO","Colombia",2
"CO05819","hospital","Toledo","CO05","Antioquia","CO","Colombia",1
"CO05837","hospital","Turbo","CO05","Antioquia","CO","Colombia",4
"CO05842","hospital","Uramita","CO05","Antioquia","CO","Colombia",1
"CO05847","hospital","Urrao","CO05","Antioquia","CO","Colombia",2
"CO05854","hospital","Valdivia","CO05","Antioquia","CO","Colombia",2
"CO05856","hospital","Valparaíso","CO05","Antioquia","CO","Colombia",2
"CO05858","hospital","Vegachí","CO05","Antioquia","CO","Colombia",1
"CO05861","hospital","Venecia","CO05","Antioquia","CO","Colombia",2
"CO05873","hospital","Vigía del Fuerte","CO05","Antioquia","CO","Colombia",1
"CO05885","hospital","Yalí","CO05","Antioquia","CO","Colombia",1
"CO05887","hospital","Yarumal","CO05","Antioquia","CO","Colombia",1
"CO05890","hospital","Yolombó","CO05","Antioquia","CO","Colombia",1
"CO05893","hospital","Yondó","CO05","Antioquia","CO","Colombia",1
"CO05895","hospital","Zaragoza","CO05","Antioquia","CO","Colombia",1
"CO08001","hospital","Barranquilla","CO08","Atlántico","CO","Colombia",67
"CO08078","hospital","Baranoa","CO08","Atlántico","CO","Colombia",1
"CO08296","hospital","Galapa","CO08","Atlántico","CO","Colombia",1
"CO08433","hospital","Malambo","CO08","Atlántico","CO","Colombia",2
"CO08436","hospital","Manatí","CO08","Atlántico","CO","Colombia",2
"CO08573","hospital","Puerto Colombia","CO08","Atlántico","CO","Colombia",1
"CO08634","hospital","Sabanagrande","CO08","Atlántico","CO","Colombia",1
"CO08638","hospital","Sabanalarga","CO08","Atlántico","CO","Colombia",2
"CO08758","hospital","Soledad","CO08","Atlántico","CO","Colombia",13
"CO08770","hospital","Suan","CO08","Atlántico","CO","Colombia",1
"CO08832","hospital","Tubará","CO08","Atlántico","CO","Colombia",1
"CO11001","hospital","Bogotá, D.C.","CO11","Bogotá, D.C.","CO","Colombia",155
"CO13001","hospital","Cartagena de Indias","CO13","Bolívar","CO","Colombia",19
"CO13030","hospital","Altos del Rosario","CO13","Bolívar","CO","Colombia",1
"CO13244","hospital","El Carmen de Bolívar","CO13","Bolívar","CO","Colombia",1
"CO13430","hospital","Magangué","CO13","Bolívar","CO","Colombia",2
"CO13468","hospital","Mompós","CO13","Bolívar","CO","Colombia",1
"CO13473","hospital","Morales","CO13","Bolívar","CO","Colombia",1
"CO13600","hospital","Río Viejo","CO13","Bolívar","CO","Colombia",4
"CO13654","hospital","San Jacinto","CO13","Bolívar","CO","Colombia",1
"CO13688","hospital","Santa Rosa del Sur","CO13","Bolívar","CO","Colombia",1
"CO13810","hospital","Tiquisio","CO13","Bolívar","CO","Colombia",1
"CO13836","hospital","Turbaco","CO13","Bolívar","CO","Colombia",2
"CO15001","hospital","Tunja","CO15","Boyacá","CO","Colombia",16
"CO15022","hospital","Almeida","CO15","Boyacá","CO","Colombia",1
"CO15051","hospital","Arcabuco","CO15","Boyacá","CO","Colombia",2
"CO15087","hospital","Belén","CO15","Boyacá","CO","Colombia",4
"CO15097","hospital","Boavita","CO15","Boyacá","CO","Colombia",4
"CO15135","hospital","Campohermoso","CO15","Boyacá","CO","Colombia",1
"CO15162","hospital","Cerinza","CO15","Boyacá","CO","Colombia",1
"CO15172","hospital","Chinavita","CO15","Boyacá","CO","Colombia",2
"CO15176","hospital","Chiquinquirá","CO15","Boyacá","CO","Colombia",3
"CO15183","hospital","Chita","CO15","Boyacá","CO","Colombia",1
"CO15187","hospital","Chivatá","CO15","Boyacá","CO","Colombia",2
"CO15218","hospital","Covarachía","CO15","Boyacá","CO","Colombia",3
"CO15223","hospital","Cubará","CO15","Boyacá","CO","Colombia",1
"CO15232","hospital","Chíquiza","CO15","Boyacá","CO","Colombia",1
"CO15238","hospital","Duitama","CO15","Boyacá","CO","Colombia",6
"CO15244","hospital","El Cocuy","CO15","Boyacá","CO","Colombia",1
"CO15248","hospital","El Espino","CO15","Boyacá","CO","Colombia",1
"CO15276","hospital","Floresta","CO15","Boyacá","CO","Colombia",1
"CO15293","hospital","Gachantivá","CO15","Boyacá","CO","Colombia",1
"CO15296","hospital","Gámeza","CO15","Boyacá","CO","Colombia",1
"CO15299","hospital","Garagoa","CO15","Boyacá","CO","Colombia",2
"CO15317","hospital","Guacamayas","CO15","Boyacá","CO","Colombia",1
"CO15332","hospital","Güicán de la Sierra","CO15","Boyacá","CO","Colombia",1
"CO15367","hospital","Jenesano","CO15","Boyacá","CO","Colombia",1
"CO15380","hospital","La Capilla","CO15","Boyacá","CO","Colombia",1
"CO15401","hospital","La Victoria","CO15","Boyacá","CO","Colombia",1
"CO15403","hospital","La Uvita","CO15","Boyacá","CO","Colombia",1
"CO15407","hospital","Villa de Leyva","CO15","Boyacá","CO","Colombia",1
"CO15442","hospital","Maripí","CO15","Boyacá","CO","Colombia",3
"CO15455","hospital","Miraflores","CO15","Boyacá","CO","Colombia",1
"CO15466","hospital","Monguí","CO15","Boyacá","CO","Colombia",1
"CO15469","hospital","Moniquirá","CO15","Boyacá","CO","Colombia",1
"CO15480","hospital","Muzo","CO15","Boyacá","CO","Colombia",1
"CO15514","hospital","Páez","CO15","Boyacá","CO","Colombia",2
"CO15516","hospital","Paipa","CO15","Boyacá","CO","Colombia",2
"CO15522","hospital","Panqueba","CO15","Boyacá","CO","Colombia",1
"CO15533","hospital","Paya","CO15","Boyacá","CO","Colombia",2
"CO15537","hospital","Paz de Río","CO15","Boyacá","CO","Colombia",1
"CO15572","hospital","Puerto Boyacá","CO15","Boyacá","CO","Colombia",4
"CO15580","hospital","Quípama","CO15","Boyacá","CO","Colombia",1
"CO15599","hospital","Ramiriquí","CO15","Boyacá","CO","Colombia",1
"CO15646","hospital","Samacá","CO15","Boyacá","CO","Colombia",1
"CO15664","hospital","San José de Pare","CO15","Boyacá","CO","Colombia",1
"CO15667","hospital","San Luis de Gaceno","CO15","Boyacá","CO","Colombia",1
"CO15676","hospital","San Miguel de Sema","CO15","Boyacá","CO","Colombia",1
"CO15686","hospital","Santana","CO15","Boyacá","CO","Colombia",1
"CO15693","hospital","Santa Rosa de Viterbo","CO15","Boyacá","CO","Colombia",1
"CO15696","hospital","Santa Sofía","CO15","Boyacá","CO","Colombia",1
"CO15720","hospital","Sativanorte","CO15","Boyacá","CO","Colombia",1
"CO15740","hospital","Siachoque","CO15","Boyacá","CO","Colombia",1
"CO15755","hospital","Socotá","CO15","Boyacá","CO","Colombia",3
"CO15757","hospital","Socha","CO15","Boyacá","CO","Colombia",1
"CO15759","hospital","Sogamoso","CO15","Boyacá","CO","Colombia",6
"CO15761","hospital","Somondoco","CO15","Boyacá","CO","Colombia",1
"CO15764","hospital","Soracá","CO15","Boyacá","CO","Colombia",1
"CO15776","hospital","Sutamarchán","CO15","Boyacá","CO","Colombia",1
"CO15814","hospital","Toca","CO15","Boyacá","CO","Colombia",1
"CO15816","hospital","Togüí","CO15","Boyacá","CO","Colombia",1
"CO15835","hospital","Turmequé","CO15","Boyacá","CO","Colombia",1
"CO15837","hospital","Tuta","CO15","Boyacá","CO","Colombia",1
"CO15842","hospital","Úmbita","CO15","Boyacá","CO","Colombia",2
"CO15861","hospital","Ventaquemada","CO15","Boyacá","CO","Colombia",1
"CO17001","hospital","Manizales","CO17","Caldas","CO","Colombia",18
"CO17013","hospital","Aguadas","CO17","Caldas","CO","Colombia",1
"CO17042","hospital","Anserma","CO17","Caldas","CO","Colombia",1
"CO17088","hospital","Belalcázar","CO17","Caldas","CO","Colombia",1
"CO17174","hospital","Chinchiná","CO17","Caldas","CO","Colombia",3
"CO17272","hospital","Filadelfia","CO17","Caldas","CO","Colombia",1
"CO17380","hospital","La Dorada","CO17","Caldas","CO","Colombia",1
"CO17442","hospital","Marmato","CO17","Caldas","CO","Colombia",1
"CO17444","hospital","Marquetalia","CO17","Caldas","CO","Colombia",1
"CO17495","hospital","Norcasia","CO17","Caldas","CO","Colombia",1
"CO17513","hospital","Pácora","CO17","Caldas","CO","Colombia",1
"CO17524","hospital","Palestina","CO17","Caldas","CO","Colombia",2
"CO17541","hospital","Pensilvania","CO17","Caldas","CO","Colombia",2
"CO17614","hospital","Riosucio","CO17","Caldas","CO","Colombia",1
"CO17616","hospital","Risaralda","CO17","Caldas","CO","Colombia",1
"CO17662","hospital","Samaná","CO17","Caldas","CO","Colombia",2
"CO17777","hospital","Supía","CO17","Caldas","CO","Colombia",1
"CO17873","hospital","Villamaría","CO17","Caldas","CO","Colombia",2
"CO17877","hospital","Viterbo","CO17","Caldas","CO","Colombia",1
"CO18001","hospital","Florencia","CO18","Caquetá","CO","Colombia",4
"CO18029","hospital","Albania","CO18","Caquetá","CO","Colombia",2
"CO18094","hospital","Belén de los Andaquíes","CO18","Caquetá","CO","Colombia",1
"CO18150","hospital","Cartagena del Chairá","CO18","Caquetá","CO","Colombia",1
"CO18205","hospital","Curillo","CO18","Caquetá","CO","Colombia",1
"CO18256","hospital","El Paujíl","CO18","Caquetá","CO","Colombia",2
"CO18592","hospital","Puerto Rico","CO18","Caquetá","CO","Colombia",1
"CO18753","hospital","San Vicente del Caguán","CO18","Caquetá","CO","Colombia",1
"CO18756","hospital","Solano","CO18","Caquetá","CO","Colombia",1
"CO18785","hospital","Solita","CO18","Caquetá","CO","Colombia",1
"CO19001","hospital","Popayán","CO19","Cauca","CO","Colombia",9
"CO19022","hospital","Almaguer","CO19","Cauca","CO","Colombia",1
"CO19050","hospital","Argelia","CO19","Cauca","CO","Colombia",3
"CO19100","hospital","Bolívar","CO19","Cauca","CO","Colombia",1
"CO19110","hospital","Buenos Aires","CO19","Cauca","CO","Colombia",1
"CO19130","hospital","Cajibío","CO19","Cauca","CO","Colombia",1
"CO19137","hospital","Caldono","CO19","Cauca","CO","Colombia",1
"CO19142","hospital","Caloto","CO19","Cauca","CO","Colombia",2
"CO19290","hospital","Florencia","CO19","Cauca","CO","Colombia",1
"CO19300","hospital","Guachené","CO19","Cauca","CO","Colombia",1
"CO19318","hospital","Guapi","CO19","Cauca","CO","Colombia",2
"CO19355","hospital","Inzá","CO19","Cauca","CO","Colombia",1
"CO19364","hospital","Jambaló","CO19","Cauca","CO","Colombia",1
"CO19392","hospital","La Sierra","CO19","Cauca","CO","Colombia",1
"CO19397","hospital","La Vega","CO19","Cauca","CO","Colombia",1
"CO19418","hospital","López de Micay","CO19","Cauca","CO","Colombia",1
"CO19450","hospital","Mercaderes","CO19","Cauca","CO","Colombia",1
"CO19455","hospital","Miranda","CO19","Cauca","CO","Colombia",2
"CO19513","hospital","Padilla","CO19","Cauca","CO","Colombia",1
"CO19517","hospital","Páez","CO19","Cauca","CO","Colombia",2
"CO19532","hospital","Patía","CO19","Cauca","CO","Colombia",2
"CO19533","hospital","Piamonte","CO19","Cauca","CO","Colombia",2
"CO19548","hospital","Piendamó - Tunía","CO19","Cauca","CO","Colombia",3
"CO19573","hospital","Puerto Tejada","CO19","Cauca","CO","Colombia",2
"CO19585","hospital","Puracé","CO19","Cauca","CO","Colombia",1
"CO19698","hospital","Santander de Quilichao","CO19","Cauca","CO","Colombia",3
"CO19743","hospital","Silvia","CO19","Cauca","CO","Colombia",2
"CO19760","hospital","Sotará - Paispamba","CO19","Cauca","CO","Colombia",2
"CO19780","hospital","Suárez","CO19","Cauca","CO","Colombia",2
"CO19785","hospital","Sucre","CO19","Cauca","CO","Colombia",1
"CO19807","hospital","Timbío","CO19","Cauca","CO","Colombia",1
"CO19821","hospital","Toribío","CO19","Cauca","CO","Colombia",1
"CO19824","hospital","Totoró","CO19","Cauca","CO","Colombia",1
"CO19845","hospital","Villa Rica","CO19","Cauca","CO","Colombia",1
"CO20001","hospital","Valledupar","CO20","Cesar","CO","Colombia",6
"CO20011","hospital","Aguachica","CO20","Cesar","CO","Colombia",4
"CO20178","hospital","Chiriguaná","CO20","Cesar","CO","Colombia",2
"CO20228","hospital","Curumaní","CO20","Cesar","CO","Colombia",1
"CO20250","hospital","El Paso","CO20","Cesar","CO","Colombia",1
"CO20443","hospital","Manaure Balcón del Cesar","CO20","Cesar","CO","Colombia",1
"CO20570","hospital","Pueblo Bello","CO20","Cesar","CO","Colombia",1
"CO20710","hospital","San Alberto","CO20","Cesar","CO","Colombia",2
"CO23001","hospital","Montería","CO23","Córdoba","CO","Colombia",3
"CO23162","hospital","Cereté","CO23","Córdoba","CO","Colombia",2
"CO23300","hospital","Cotorra","CO23","Córdoba","CO","Colombia",1
"CO23417","hospital","Lorica","CO23","Córdoba","CO","Colombia",4
"CO23419","hospital","Los Córdobas","CO23","Córdoba","CO","Colombia",1
"CO23660","hospital","Sahagún","CO23","Córdoba","CO","Colombia",1
"CO23672","hospital","San Antero","CO23","Córdoba","CO","Colombia",1
"CO23807","hospital","Tierralta","CO23","Córdoba","CO","Colombia",3
"CO23815","hospital","Tuchín","CO23","Córdoba","CO","Colombia",1
"CO23855","hospital","Valencia","CO23","Córdoba","CO","Colombia",1
"CO25035","hospital","Anapoima","CO25","Cundinamarca","CO","Colombia",1
"CO25040","hospital","Anolaima","CO25","Cundinamarca","CO","Colombia",2
"CO25053","hospital","Arbeláez","CO25","Cundinamarca","CO","Colombia",2
"CO25086","hospital","Beltrán","CO25","Cundinamarca","CO","Colombia",1
"CO25099","hospital","Bojacá","CO25","Cundinamarca","CO","Colombia",1
"CO25126","hospital","Cajicá","CO25","Cundinamarca","CO","Colombia",1
"CO25154","hospital","Carmen de Carupa","CO25","Cundinamarca","CO","Colombia",2
"CO25175","hospital","Chía","CO25","Cundinamarca","CO","Colombia",3
"CO25181","hospital","Choachí","CO25","Cundinamarca","CO","Colombia",1
"CO25183","hospital","Chocontá","CO25","Cundinamarca","CO","Colombia",1
"CO25214","hospital","Cota","CO25","Cundinamarca","CO","Colombia",1
"CO25245","hospital","El Colegio","CO25","Cundinamarca","CO","Colombia",2
"CO25269","hospital","Facatativá","CO25","Cundinamarca","CO","Colombia",8
"CO25279","hospital","Fómeque","CO25","Cundinamarca","CO","Colombia",3
"CO25286","hospital","Funza","CO25","Cundinamarca","CO","Colombia",1
"CO25288","hospital","Fúquene","CO25","Cundinamarca","CO","Colombia",1
"CO25290","hospital","Fusagasugá","CO25","Cundinamarca","CO","Colombia",5
"CO25295","hospital","Gachancipá","CO25","Cundinamarca","CO","Colombia",1
"CO25297","hospital","Gachetá","CO25","Cundinamarca","CO","Colombia",1
"CO25312","hospital","Granada","CO25","Cundinamarca","CO","Colombia",1
"CO25317","hospital","Guachetá","CO25","Cundinamarca","CO","Colombia",1
"CO25320","hospital","Guaduas","CO25","Cundinamarca","CO","Colombia",1
"CO25322","hospital","Guasca","CO25","Cundinamarca","CO","Colombia",1
"CO25326","hospital","Guatavita","CO25","Cundinamarca","CO","Colombia",1
"CO25368","hospital","Jerusalén","CO25","Cundinamarca","CO","Colombia",1
"CO25377","hospital","La Calera","CO25","Cundinamarca","CO","Colombia",1
"CO25386","hospital","La Mesa","CO25","Cundinamarca","CO","Colombia",1
"CO25394","hospital","La Palma","CO25","Cundinamarca","CO","Colombia",1
"CO25402","hospital","La Vega","CO25","Cundinamarca","CO","Colombia",1
"CO25426","hospital","Machetá","CO25","Cundinamarca","CO","Colombia",1
"CO25430","hospital","Madrid","CO25","Cundinamarca","CO","Colombia",2
"CO25436","hospital","Manta","CO25","Cundinamarca","CO","Colombia",1
"CO25438","hospital","Medina","CO25","Cundinamarca","CO","Colombia",1
"CO25473","hospital","Mosquera","CO25","Cundinamarca","CO","Colombia",1
"CO25486","hospital","Nemocón","CO25","Cundinamarca","CO","Colombia",1
"CO25513","hospital","Pacho","CO25","Cundinamarca","CO","Colombia",2
"CO25599","hospital","Apulo","CO25","Cundinamarca","CO","Colombia",1
"CO25645","hospital","San Antonio del Tequendama","CO25","Cundinamarca","CO","Colombia",2
"CO25653","hospital","San Cayetano","CO25","Cundinamarca","CO","Colombia",1
"CO25718","hospital","Sasaima","CO25","Cundinamarca","CO","Colombia",1
"CO25740","hospital","Sibaté","CO25","Cundinamarca","CO","Colombia",2
"CO25743","hospital","Silvania","CO25","Cundinamarca","CO","Colombia",1
"CO25754","hospital","Soacha","CO25","Cundinamarca","CO","Colombia",4
"CO25769","hospital","Subachoque","CO25","Cundinamarca","CO","Colombia",1
"CO25772","hospital","Suesca","CO25","Cundinamarca","CO","Colombia",1
"CO25815","hospital","Tocaima","CO25","Cundinamarca","CO","Colombia",1
"CO25817","hospital","Tocancipá","CO25","Cundinamarca","CO","Colombia",2
"CO25841","hospital","Ubaque","CO25","Cundinamarca","CO","Colombia",1
"CO25843","hospital","Villa de San Diego de Ubaté","CO25","Cundinamarca","CO","Colombia",1
"CO25875","hospital","Villeta","CO25","Cundinamarca","CO","Colombia",4
"CO25899","hospital","Zipaquirá","CO25","Cundinamarca","CO","Colombia",4
"CO27001","hospital","Quibdó","CO27","Chocó","CO","Colombia",3
"CO27006","hospital","Acandí","CO27","Chocó","CO","Colombia",2
"CO27075","hospital","Bahía Solano","CO27","Chocó","CO","Colombia",1
"CO27077","hospital","Bajo Baudó","CO27","Chocó","CO","Colombia",1
"CO27361","hospital","Istmina","CO27","Chocó","CO","Colombia",1
"CO27372","hospital","Juradó","CO27","Chocó","CO","Colombia",1
"CO27787","hospital","Tadó","CO27","Chocó","CO","Colombia",1
"CO27800","hospital","Unguía","CO27","Chocó","CO","Colombia",1
"CO41001","hospital","Neiva","CO41","Huila","CO","Colombia",6
"CO41013","hospital","Agrado","CO41","Huila","CO","Colombia",1
"CO41016","hospital","Aipe","CO41","Huila","CO","Colombia",1
"CO41020","hospital","Algeciras","CO41","Huila","CO","Colombia",1
"CO41078","hospital","Baraya","CO41","Huila","CO","Colombia",1
"CO41132","hospital","Campoalegre","CO41","Huila","CO","Colombia",1
"CO41244","hospital","Elías","CO41","Huila","CO","Colombia",1
"CO41298","hospital","Garzón","CO41","Huila","CO","Colombia",5
"CO41319","hospital","Guadalupe","CO41","Huila","CO","Colombia",1
"CO41359","hospital","Isnos","CO41","Huila","CO","Colombia",1
"CO41396","hospital","La Plata","CO41","Huila","CO","Colombia",2
"CO41524","hospital","Palermo","CO41","Huila","CO","Colombia",1
"CO41530","hospital","Palestina","CO41","Huila","CO","Colombia",2
"CO41548","hospital","Pital","CO41","Huila","CO","Colombia",1
"CO41615","hospital","Rivera","CO41","Huila","CO","Colombia",1
"CO41668","hospital","San Agustín","CO41","Huila","CO","Colombia",1
"CO41791","hospital","Tarqui","CO41","Huila","CO","Colombia",1
"CO41797","hospital","Tesalia","CO41","Huila","CO","Colombia",1
"CO41799","hospital","Tello","CO41","Huila","CO","Colombia",1
"CO41807","hospital","Timaná","CO41","Huila","CO","Colombia",1
"CO41872","hospital","Villavieja","CO41","Huila","CO","Colombia",1
"CO44001","hospital","Riohacha","CO44","La Guajira","CO","Colombia",29
"CO44078","hospital","Barrancas","CO44","La Guajira","CO","Colombia",1
"CO44090","hospital","Dibulla","CO44","La Guajira","CO","Colombia",1
"CO44110","hospital","El Molino","CO44","La Guajira","CO","Colombia",1
"CO44279","hospital","Fonseca","CO44","La Guajira","CO","Colombia",1
"CO44430","hospital","Maicao","CO44","La Guajira","CO","Colombia",4
"CO44560","hospital","Manaure","CO44","La Guajira","CO","Colombia",3
"CO44650","hospital","San Juan del Cesar","CO44","La Guajira","CO","Colombia",2
"CO44847","hospital","Uribia","CO44","La Guajira","CO","Colombia",3
"CO44855","hospital","Urumita","CO44","La Guajira","CO","Colombia",1
"CO47001","hospital","Santa Marta","CO47","Magdalena","CO","Colombia",6
"CO47053","hospital","Aracataca","CO47","Magdalena","CO","Colombia",2
"CO47170","hospital","Chivolo","CO47","Magdalena","CO","Colombia",1
"CO47189","hospital","Ciénaga","CO47","Magdalena","CO","Colombia",6
"CO47205","hospital","Concordia","CO47","Magdalena","CO","Colombia",1
"CO47245","hospital","El Banco","CO47","Magdalena","CO","Colombia",3
"CO47268","hospital","El Retén","CO47","Magdalena","CO","Colombia",1
"CO47288","hospital","Fundación","CO47","Magdalena","CO","Colombia",4
"CO47555","hospital","Plato","CO47","Magdalena","CO","Colombia",1
"CO47570","hospital","Puebloviejo","CO47","Magdalena","CO","Colombia",1
"CO50001","hospital","Villavicencio","CO50","Meta","CO","Colombia",11
"CO50006","hospital","Acacías","CO50","Meta","CO","Colombia",1
"CO50110","hospital","Barranca de Upía","CO50","Meta","CO","Colombia",1
"CO50150","hospital","Castilla la Nueva","CO50","Meta","CO","Colombia",2
"CO50223","hospital","Cubarral","CO50","Meta","CO","Colombia",1
"CO50226","hospital","Cumaral","CO50","Meta","CO","Colombia",2
"CO50270","hospital","El Dorado","CO50","Meta","CO","Colombia",1
"CO50313","hospital","Granada","CO50","Meta","CO","Colombia",23
"CO50330","hospital","Mesetas","CO50","Meta","CO","Colombia",1
"CO50370","hospital","Uribe","CO50","Meta","CO","Colombia",1
"CO50400","hospital","Lejanías","CO50","Meta","CO","Colombia",1
"CO50568","hospital","Puerto Gaitán","CO50","Meta","CO","Colombia",4
"CO50573","hospital","Puerto López","CO50","Meta","CO","Colombia",1
"CO50577","hospital","Puerto Lleras","CO50","Meta","CO","Colombia",1
"CO50590","hospital","Puerto Rico","CO50","Meta","CO","Colombia",1
"CO50680","hospital","San Carlos de Guaroa","CO50","Meta","CO","Colombia",1
"CO50683","hospital","San Juan de Arama","CO50","Meta","CO","Colombia",1
"CO50686","hospital","San Juanito","CO50","Meta","CO","Colombia",1
"CO50689","hospital","San Martín","CO50","Meta","CO","Colombia",1
"CO50711","hospital","Vistahermosa","CO50","Meta","CO","Colombia",4
"CO52001","hospital","Pasto","CO52","Nariño","CO","Colombia",25
"CO52022","hospital","Aldana","CO52","Nariño","CO","Colombia",2
"CO52079","hospital","Barbacoas","CO52","Nariño","CO","Colombia",1
"CO52110","hospital","Buesaco","CO52","Nariño","CO","Colombia",1
"CO52207","hospital","Consacá","CO52","Nariño","CO","Colombia",1
"CO52227","hospital","Cumbal","CO52","Nariño","CO","Colombia",2
"CO52250","hospital","El Charco","CO52","Nariño","CO","Colombia",1
"CO52258","hospital","El Tablón de Gómez","CO52","Nariño","CO","Colombia",1
"CO52323","hospital","Gualmatán","CO52","Nariño","CO","Colombia",1
"CO52356","hospital","Ipiales","CO52","Nariño","CO","Colombia",10
"CO52378","hospital","La Cruz","CO52","Nariño","CO","Colombia",1
"CO52399","hospital","La Unión","CO52","Nariño","CO","Colombia",3
"CO52411","hospital","Linares","CO52","Nariño","CO","Colombia",1
"CO52418","hospital","Los Andes","CO52","Nariño","CO","Colombia",1
"CO52480","hospital","Nariño","CO52","Nariño","CO","Colombia",1
"CO52506","hospital","Ospina","CO52","Nariño","CO","Colombia",1
"CO52573","hospital","Puerres","CO52","Nariño","CO","Colombia",1
"CO52621","hospital","Roberto Payán","CO52","Nariño","CO","Colombia",1
"CO52683","hospital","Sandoná","CO52","Nariño","CO","Colombia",1
"CO52685","hospital","San Bernardo","CO52","Nariño","CO","Colombia",1
"CO52693","hospital","San Pablo","CO52","Nariño","CO","Colombia",1
"CO52694","hospital","San Pedro de Cartago","CO52","Nariño","CO","Colombia",1
"CO52835","hospital","San Andrés de Tumaco","CO52","Nariño","CO","Colombia",3
